timestep	temperature	potential_energy	kinetic_energy	bond_harmonic_energy	pppm_energy	pair_lj_energy	angle_harmonic_energy	volume	pressure
100000	2.305213078	-67264.63257	20743.45988	7177.344739	-129665.4777	-4721.618115	2702.200261	512	1.271179664
100100	2.314792702	-67032.50814	20829.66213	7343.892784	-129653.3829	-4556.457001	2618.067286	511.9422488	-6.064715523
100200	2.315810036	-67681.84494	20838.81661	7212.252129	-129666.6523	-5009.224616	2756.353126	511.7959323	-3.735351315
100300	2.322374531	-66976.12393	20897.88722	7193.703272	-129652.9695	-5138.025398	2631.583978	511.5720917	-1.258786957
100400	2.306273746	-66471.36239	20753.0043	7429.883726	-129664.3107	-4391.43233	2671.300862	511.3121683	4.959312201
100500	2.309668652	-66410.41321	20783.55337	7295.490469	-129668.5759	-4765.306909	2681.668741	511.039062	-1.126968935
100600	2.318490859	-67285.42522	20862.93999	7155.589035	-129648.9503	-4517.347401	2580.390458	510.7555637	-4.292710242
100700	2.282702598	-66527.65098	20540.89933	7073.49221	-129675.1779	-4375.087392	2798.099754	510.4373102	5.490477399
100800	2.282310332	-66372.27106	20537.36952	7067.32061	-129676.566	-4778.196001	2717.968075	510.0716775	-0.05327526579
100900	2.286681611	-66065.87821	20576.70448	7100.880119	-129669.0861	-4853.164396	2711.176715	509.6119323	0.8847151103
101000	2.260411269	-66200.8103	20340.31081	7244.525716	-129655.3402	-5040.913231	2730.936086	509.0649816	-1.981690972
101100	2.305394655	-66865.8371	20745.09381	7164.694223	-129671.6039	-4670.360525	2689.354939	508.3845069	3.851284443
101200	2.275988721	-66125.0958	20480.4845	7283.367659	-129681.791	-4588.726555	2749.057091	507.5998898	-3.755629735
101300	2.30737312	-66862.12751	20762.89702	7190.192365	-129675.097	-4591.220323	2771.459492	506.7559045	2.57839408
101400	2.312738398	-66547.34411	20811.17647	7297.525861	-129651.1329	-5000.166267	2734.503022	505.8324171	-4.646474031
101500	2.273277458	-66755.78277	20456.0872	7000.609567	-129651.9407	-5074.911785	2808.026248	504.8342949	-12.82063864
101600	2.26056471	-66804.50071	20341.69154	7381.485463	-129671.7705	-5312.366548	2768.533783	503.7560924	-14.929291
101700	2.27796346	-66978.09179	20498.25419	7168.654763	-129653.966	-4923.285014	2851.160645	502.5948578	2.264254221
101800	2.276507061	-66649.13368	20485.14879	7390.828431	-129676.4354	-4870.692601	2722.367251	501.3737507	-10.49144501
101900	2.281596824	-66986.71079	20530.94902	7124.353719	-129677.0054	-4798.023702	2728.790557	500.061178	-11.90861785
102000	2.329328507	-66857.04051	20960.46257	7021.665322	-129649.3647	-4442.603621	2810.762545	498.6857111	-0.1554245374
102100	2.321641193	-66816.40302	20891.28828	7216.063232	-129669.5131	-4966.346933	2689.190057	497.2837824	-1.226349554
102200	2.304460353	-66827.30074	20736.68648	7287.006075	-129657.8453	-5331.81538	2642.453665	495.8482985	3.623081639
102300	2.314617122	-66851.47549	20828.08217	7205.79161	-129657.6521	-5386.254158	2648.855718	494.4064011	-8.217071678
102400	2.302285299	-66728.46635	20717.11427	7167.775758	-129663.1788	-4921.910834	2753.643209	492.9625004	3.483503993
102500	2.322111064	-66832.33761	20895.51641	7174.653059	-129663.3837	-5574.583208	2719.258788	491.5314775	-1.654743812
102600	2.271273295	-66586.74281	20438.05274	6940.495009	-129654.7945	-5170.173406	2777.509231	490.0737427	2.660864361
102700	2.307546222	-67148.73114	20764.45468	7339.903254	-129660.4776	-5264.026704	2749.138327	488.560185	-2.217405594
102800	2.273186801	-66810.23341	20455.27143	7355.522064	-129665.0688	-5158.016491	2774.619859	486.9905408	-5.486213176
102900	2.288366212	-66661.32286	20591.86336	7406.34054	-129664.3218	-5314.088207	2706.073779	485.3825411	-13.16067951
103000	2.267410214	-66685.00111	20403.29081	7363.05355	-129662.0465	-4747.635589	2859.139679	483.7008779	-9.958758975
103100	2.252278753	-66862.43258	20267.13036	7213.878005	-129668.1985	-5000.238301	2850.446266	481.9630629	-2.868235504
103200	2.243503705	-66956.80536	20188.16809	7421.987814	-129660.6789	-4845.064775	2667.122465	480.1579392	-9.267312354
103300	2.262662981	-67152.61549	20360.57284	7120.631996	-129661.4433	-5268.343258	2828.362402	478.2833975	-4.435889084
103400	2.28622284	-67222.74194	20572.57622	7317.627511	-129677.8756	-5278.506609	2741.815477	476.3445558	-8.377247829
103500	2.306601395	-67354.46922	20755.95265	7144.839229	-129664.8451	-4889.544891	2556.92258	474.3416108	-0.8548158664
103600	2.300833868	-67609.29077	20704.05356	7202.630776	-129664.1565	-4941.641872	2697.097397	472.315642	2.928601747
103700	2.282027989	-67433.53474	20534.82886	7200.631098	-129661.4243	-5409.36318	2623.01727	470.2530712	0.09765350736
103800	2.303861689	-67645.51124	20731.29941	7174.767443	-129657.0638	-5079.587815	2576.329539	468.1189019	0.5412831123
103900	2.280928676	-67121.3826	20524.93669	7322.60699	-129674.4417	-5176.646205	2684.18778	465.9503654	6.848760739
104000	2.292563541	-67038.61163	20629.63302	7269.264357	-129675.2153	-5151.652466	2721.418507	463.7855559	-4.839141399
104100	2.259613946	-67007.92037	20333.1361	7217.723073	-129659.0775	-5050.038716	2721.130933	461.6107114	-13.97957313
104200	2.286793348	-67408.31168	20577.70994	7126.360357	-129645.7058	-5283.827821	2835.646852	459.3912119	2.559123675
104300	2.246582198	-66735.52054	20215.86991	7407.999387	-129668.9599	-5081.686003	2738.670607	457.1396596	-0.9799870094
104400	2.280450911	-67174.73172	20520.63753	7182.122033	-129675.2573	-4967.962298	2744.589113	454.8896323	-5.60131299
104500	2.25627347	-66975.52398	20303.07682	7260.214318	-129668.805	-4929.560665	2793.370933	452.6132895	9.39093922
104600	2.316346351	-68170.82098	20843.64264	7117.721183	-129662.8278	-5254.383805	2722.272501	450.3104828	-8.433004996
104700	2.284865363	-67780.98755	20560.36097	7411.160701	-129654.0345	-5140.644174	2640.092948	447.946361	-15.01225738
104800	2.281606493	-67649.03427	20531.03603	7126.991621	-129687.5387	-5175.074588	2654.674078	445.5213364	9.372842018
104900	2.300836104	-67891.81789	20704.07368	7312.048806	-129680.9958	-5265.516679	2674.606664	443.0234094	-10.06703867
105000	2.280336681	-67052.58658	20519.60963	7143.5371	-129673.3041	-5192.041887	2703.231869	440.4377805	-4.4556994
105100	2.283992732	-66985.66314	20552.5086	7097.300399	-129676.4126	-5139.963108	2781.527614	437.8018324	-3.712472557
105200	2.280946475	-67116.17799	20525.09686	7373.9043	-129660.1301	-4881.488944	2601.290997	435.1565937	-1.411120197
105300	2.277863716	-67391.6027	20497.35665	7296.563854	-129666.4614	-4957.155962	2770.412847	432.496206	-3.233856559
105400	2.319855801	-67535.08096	20875.22243	7392.279578	-129679.2453	-4968.932203	2665.858655	429.7789997	-3.781801119
105500	2.298073787	-67278.94651	20679.21697	7227.829224	-129679.2729	-5094.616485	2616.027119	427.0234864	6.709654561
105600	2.336800238	-67233.53428	21027.69694	7355.5206	-129670.286	-5570.463568	2784.137336	424.2647381	-6.681165635
105700	2.323681846	-67855.49483	20909.6511	7256.251707	-129661.7943	-4964.13607	2768.538563	421.4939677	-7.266848922
105800	2.321461191	-67226.03801	20889.66852	7423.351625	-129648.5527	-5052.611658	2722.797995	418.7079366	-6.527521882
105900	2.288232634	-66570.81276	20590.66135	7291.074659	-129678.6366	-4847.381675	2844.832457	415.9237812	7.703464226
106000	2.294397732	-67035.97465	20646.13799	7380.408717	-129674.4014	-5166.911974	2533.419285	413.1652392	-5.169505194
106100	2.286136887	-67916.36341	20571.80278	7200.647923	-129655.7355	-4784.426111	2789.180076	410.4210709	3.811476999
106200	2.323199835	-68082.95254	20905.31372	7382.903291	-129673.0072	-5035.669653	2640.386993	407.6590284	-4.507777751
106300	2.316456202	-67998.28314	20844.63113	7176.533261	-129677.6941	-4962.181747	2633.810617	404.8687419	10.4254288
106400	2.290694444	-67469.30881	20612.81396	7490.928701	-129666.9207	-5056.238456	2738.448913	402.0656704	-12.25376344
106500	2.263462383	-67171.43786	20367.76625	7030.198089	-129659.8608	-5332.983932	2792.852838	399.2683009	7.887472345
106600	2.280081626	-67664.52642	20517.31451	7547.589958	-129672.1169	-4872.556274	2654.031778	396.4678586	-8.349539593
106700	2.27898345	-67854.75727	20507.43257	7205.221852	-129670.5817	-5300.650624	2675.443037	393.6731712	-7.895829381
106800	2.261263605	-67844.95266	20347.98055	7111.410424	-129667.5258	-5421.97505	2798.56628	390.8810993	4.589991395
106900	2.251520399	-67168.23143	20260.30631	7275.83322	-129665.6061	-5654.887137	2661.067145	388.0693187	2.188948753
107000	2.276652279	-68028.06666	20486.45553	7327.959449	-129675.1371	-4899.506497	2636.211371	385.2562187	5.422009664
107100	2.246207021	-67486.34938	20212.49388	7264.348706	-129685.088	-5434.610172	2688.113561	382.4450302	-0.8059469037
107200	2.2294932	-67530.79412	20062.09456	7318.645789	-129663.8091	-5148.538295	2658.979895	379.619363	-16.85705233
107300	2.2428241	-67898.08835	20182.05266	7058.734585	-129684.8343	-5549.221981	2691.20217	376.7809152	11.96293333
107400	2.262434624	-67543.57818	20358.51796	7436.406505	-129673.3587	-5161.409491	2854.435753	373.9255281	1.34910339
107500	2.251095429	-67692.18231	20256.48221	7161.33048	-129676.7747	-5356.698425	2665.84547	371.0768601	-0.9127029154
107600	2.211560477	-66939.6144	19900.72695	7345.834569	-129671.1332	-5316.846983	2755.583529	368.2223694	6.202982789
107700	2.251727321	-67864.20127	20262.1683	7144.142245	-129667.2872	-5310.384047	2812.276282	365.349484	0.9817944151
107800	2.305022038	-68175.23094	20741.74081	7446.206175	-129673.8441	-5311.766854	2668.144927	362.4623571	-24.00312252
107900	2.283458972	-67845.97768	20547.70556	7323.358433	-129658.6057	-5194.048015	2644.119107	359.5550424	8.945880707
108000	2.283282149	-68018.17358	20546.11441	7406.396427	-129676.8846	-4770.532804	2794.820267	356.6397296	9.647052425
108100	2.304737704	-67825.7244	20739.18223	7427.500042	-129673.2564	-4605.266951	2836.590345	353.7446354	-4.131564852
108200	2.293563851	-67792.93187	20638.63431	7384.189385	-129662.1784	-5008.39497	2900.314981	350.8872206	7.398732046
108300	2.273832735	-67376.85624	20461.08386	7630.284569	-129676.1729	-4780.732379	2864.045602	348.0477543	-11.98536932
108400	2.273452612	-67078.65817	20457.66333	7297.89147	-129667.1106	-5264.825503	2798.093865	345.2261473	0.6844518348
108500	2.28683823	-67161.70801	20578.11382	7404.070072	-129677.4498	-5210.126512	2756.180561	342.3724518	-6.250130138
108600	2.288041491	-67000.45703	20588.94136	7399.53344	-129686.1947	-5128.306131	2861.940389	339.5012189	0.7542874278
108700	2.321533918	-67725.35501	20890.32296	7517.244685	-129670.965	-5318.041111	2741.724422	336.6069545	-7.778899034
108800	2.285436126	-66983.92198	20565.49698	7203.611939	-129663.0874	-5535.711592	2777.158804	333.6989734	2.034245415
108900	2.294262431	-66856.22638	20644.92048	7655.603129	-129679.3333	-5031.369621	2862.511095	330.7654293	-14.92457141
109000	2.298404523	-67720.41387	20682.1931	7074.580785	-129683.7547	-5356.417624	2759.437859	327.8143179	3.752376919
109100	2.299346515	-67112.72777	20690.66962	7799.074555	-129673.9574	-5303.133023	2686.019294	324.8421933	-16.71545329
109200	2.29979107	-66995.13582	20694.66994	7347.744749	-129670.2048	-5385.451541	2776.096682	321.890505	-4.330804893
109300	2.287043572	-66979.79566	20579.96158	7567.919258	-129670.5712	-5815.030532	2692.599315	318.9709608	-4.176357629
109400	2.293411612	-67244.69969	20637.26439	7232.499257	-129672.8996	-5456.466827	2725.625618	316.0698215	17.14423971
109500	2.297773944	-66908.74491	20676.51883	7313.116285	-129687.8985	-5479.064737	2841.184637	313.1661351	-7.677521957
109600	2.358256887	-67882.74302	21220.7746	7189.582801	-129686.3061	-5323.900397	2704.718416	310.2742399	7.781289982
109700	2.280224613	-67301.58039	20518.60118	7606.605199	-129669.7092	-5345.579733	2807.461457	307.3984687	0.3322852414
109800	2.299648871	-67248.62624	20693.39037	7273.42385	-129664.6081	-5258.761459	2578.951027	304.5187223	8.682512012
109900	2.310846626	-67714.86409	20794.15337	7610.579295	-129681.8169	-5470.207948	2658.044979	301.6554628	-5.602457957
110000	2.294133526	-67851.0654	20643.76054	7227.995665	-129686.7053	-5841.375711	2670.416654	298.8064922	-1.046367665
110100	2.290273315	-67595.95142	20609.02443	7266.276457	-129669.8607	-5278.435954	2729.734402	295.9540495	-2.777190753
110200	2.294884515	-68358.14544	20650.51831	7213.004179	-129679.7777	-5559.600058	2666.281427	293.1208046	10.0673836
110300	2.26109866	-67537.83047	20346.49629	7476.754146	-129677.1292	-5381.842843	2752.016586	290.3076565	8.842028296
110400	2.292688421	-68744.26772	20630.75676	7184.172815	-129671.2471	-5104.125246	2752.708158	287.5175781	17.58037531
110500	2.273168309	-67746.19162	20455.10503	7352.243149	-129664.5529	-5114.965418	2781.349923	284.7357241	-5.600344754
110600	2.293007876	-68413.37474	20633.63137	6919.355166	-129656.3499	-5486.582779	2736.390335	281.9831376	10.37301492
110700	2.266545624	-67830.789	20395.5108	7423.185759	-129677.0236	-6089.567232	2833.250598	279.2546622	-35.48154026
110800	2.267590564	-67988.99465	20404.91369	7012.312391	-129676.3087	-5419.779141	2639.599938	276.5376198	14.23827863
110900	2.237891585	-67632.67189	20137.66743	7324.82412	-129676.8009	-5194.747581	2669.054245	273.8403168	-6.976974565
111000	2.265549858	-68501.68979	20386.5504	7119.636475	-129659.8998	-5747.671995	2636.502397	271.1777173	-13.36326099
111100	2.261660617	-67907.7409	20351.55306	7197.947966	-129662.7524	-5675.644782	2699.118525	268.5278691	6.943121316
111200	2.282151269	-68360.58353	20535.9382	7270.259993	-129672.6285	-5566.957987	2722.780323	265.8853559	-7.850738325
111300	2.217081852	-67566.63983	19950.41104	7100.138094	-129681.7421	-5885.382982	2759.965643	263.2435807	5.541547329
111400	2.263133176	-67968.00433	20364.80388	7283.027077	-129673.2205	-6004.289702	2615.072199	260.5933981	-12.22429698
111500	2.24371352	-67856.43754	20190.05611	7269.863347	-129668.7462	-5520.832887	2692.846845	257.9354817	5.731791743
111600	2.269750666	-68124.71368	20424.35137	7410.28353	-129655.2966	-5721.619089	2712.73287	255.2826103	-12.09191122
111700	2.297239471	-67637.37964	20671.70938	7291.045093	-129667.7631	-5298.067022	2648.218962	252.6474022	8.18197111
111800	2.304088686	-68574.71253	20733.34204	7135.767211	-129675.3326	-5458.854382	2812.798498	250.0538129	-7.843444873
111900	2.307047827	-67653.22421	20759.96987	7546.903626	-129669.2204	-5235.152547	2731.871106	247.4974743	19.99508889
112000	2.335701977	-67598.27293	21017.81424	7291.572222	-129666.4424	-5867.235769	2604.799761	244.9923402	9.422795123
112100	2.295694387	-67377.31135	20657.80594	7289.111989	-129659.8756	-6215.452958	2739.652496	242.5329716	12.03208972
112200	2.348881984	-68320.04529	21136.41453	7311.525442	-129675.5206	-6032.115025	2812.129619	240.1121941	2.865427909
112300	2.331210889	-67905.35606	20977.40118	7429.744825	-129669.4747	-6225.129086	2600.017284	237.7152029	-9.199495221
112400	2.319276766	-68097.20198	20870.01198	7362.831045	-129678.4349	-5643.833019	2735.727506	235.3339817	5.733346207
112500	2.3257384	-68016.87228	20928.15699	7416.721794	-129676.706	-6001.162783	2818.593109	232.9931502	-4.499237299
112600	2.294708158	-67574.06477	20648.93136	7437.025064	-129668.4914	-5603.051922	2749.813907	230.6702913	1.827264035
