timestep	temperature	potential_energy	kinetic_energy	bond_harmonic_energy	pppm_energy	pair_lj_energy	angle_harmonic_energy	volume	pressure
100000	3.288439173	-39030.21884	29591.0199	7713.770736	-129625.0544	-4536.262671	3882.493556	512	-4.794946563
100100	3.282149778	-39022.3688	29534.42478	8258.059091	-129620.0206	-4692.547081	3730.229606	511.9660481	-14.83232492
100200	3.350950515	-39601.67242	30153.52821	7731.50881	-129598.6949	-4755.009931	3677.677693	511.8601518	9.168961872
100300	3.359875067	-39251.65065	30233.83579	7819.029381	-129638.4555	-4541.940102	3747.82154	511.7090273	-7.04106578
100400	3.347443527	-39901.87229	30121.97058	7714.347132	-129660.1092	-4288.101476	3828.211137	511.5124968	-0.5486787808
100500	3.37116685	-40217.89566	30335.4449	7761.270054	-129664.3632	-3935.516549	3675.254338	511.2873011	-2.439074227
100600	3.320009081	-39618.03864	29875.10172	7904.717141	-129650.0454	-4280.433453	3615.07231	511.0126737	-21.78611248
100700	3.264917368	-39473.00671	29379.35893	7782.980365	-129648.8263	-4343.255567	4026.286764	510.6674507	3.789803665
100800	3.268228749	-39718.27159	29409.1564	7926.00999	-129624.2479	-3965.728917	3669.978772	510.250409	-7.146306046
100900	3.27011081	-40149.37514	29426.09213	8113.834814	-129645.7232	-4572.384056	3878.629142	509.7654658	-17.21030719
101000	3.329121485	-40285.34331	29957.09968	7638.564055	-129657.9739	-4308.610582	3792.537476	509.2047318	10.61275775
101100	3.224199866	-39293.56892	29012.96249	7803.357265	-129632.7676	-4645.856204	3542.948537	508.6072172	-12.19365382
101200	3.292861567	-40261.57783	29630.81481	7698.208468	-129647.4891	-4679.154509	3559.718714	507.9692485	3.586106701
101300	3.247505646	-39987.3193	29222.67956	7815.5001	-129648.2221	-4777.265214	3516.731871	507.2878767	-4.58722927
101400	3.242290762	-40010.48562	29175.75342	7765.293673	-129631.364	-5043.74689	3563.143198	506.543168	7.907061641
101500	3.255466752	-40036.19037	29294.31757	7794.802884	-129634.7334	-4629.581878	3553.683937	505.7368106	-14.89657689
101600	3.241522363	-39582.41245	29168.83898	7536.800001	-129631.6377	-4917.575873	3709.848466	504.8687284	-1.892195877
101700	3.249313416	-40183.14057	29238.94677	7781.833829	-129601.4538	-4871.068066	3602.143484	503.9398766	-4.290054099
