timestep	temperature	potential_energy	kinetic_energy	bond_harmonic_energy	pppm_energy	pair_lj_energy	angle_harmonic_energy	volume	pressure
0	0	908615.6025	0	24618.38887	-129747.3141	166713.2071	717189.4135	512	743.9407512
100	46.26098247	222006.2876	416279.4507	92740.76084	-129485.5719	-3092.820088	134695.028	512	-309.0696653
200	15.55359578	134913.0843	139959.0316	94345.31054	-129552.835	-5088.801256	54142.74561	512	765.41182
300	7.001477771	28525.36566	63002.79772	27612.76724	-129650.4674	-4122.068486	22084.57316	512	-157.5292394
400	2.548986566	-8579.04002	22937.05562	5952.901536	-129683.0789	-2341.779719	15458.61025	512	-51.32909922
500	1.316930972	-31202.97543	11850.40335	5683.531263	-129683.1492	-1055.318776	2727.012159	512	-24.62495108
600	0.6529333476	-41049.4754	5875.420728	2904.311043	-129688.8585	501.3119261	1651.073475	512	-6.544813049
700	0.3927485232	-46835.68635	3534.147586	1645.433067	-129695.024	1248.942768	825.7015785	512	-23.09201104
800	0.2569613779	-50729.71383	2312.266959	1622.519168	-129699.3989	1900.709208	429.8972111	512	-24.02787913
900	0.187568492	-53630.33433	1687.835076	1511.791606	-129696.5021	2285.553123	383.3821444	512	-13.67800947
1000	0.1516507367	-55518.71735	1364.629154	1518.652818	-129697.8688	2688.744393	291.3059967	512	-18.0912828
1100	0.1390302515	-57413.37549	1251.063718	1577.573177	-129698.0212	3029.621565	277.2463898	512	-17.33300909
1200	0.1236245222	-58988.88068	1112.435263	1625.789467	-129695.9941	3197.984046	284.2877743	512	-14.75883615
1300	0.1175693746	-60386.75817	1057.948018	1677.771635	-129691.7708	3395.208607	273.2718951	512	-16.15772079
1400	0.1155180204	-61756.43629	1039.488906	1749.034318	-129691.5349	3728.992639	271.3837143	512	-15.71430269
1500	0.09953960908	-62367.29951	895.7071723	1792.23287	-129693.145	3932.170243	281.5557969	512	-12.55872529
1600	0.0967504224	-63202.40562	870.6086759	1823.078694	-129694.2808	3937.31519	279.3661743	512	-12.49526189
1700	0.09370546686	-64279.50725	843.2086435	1858.819613	-129691.0419	3993.346692	286.9729287	512	-14.02611019
1800	0.09717384441	-65215.52401	874.4188389	1903.931738	-129693.2228	4185.417789	282.9538425	512	-13.30217564
1900	0.08638051894	-65791.47125	777.2950997	1942.569203	-129692.2286	4424.629486	286.2606286	512	-11.79616983
2000	0.08970027725	-66443.06499	807.1679448	1965.656945	-129687.7507	4487.457204	285.819386	512	-11.43162956
2100	0.0867190371	-67148.14299	780.3412553	1985.743167	-129690.1748	4453.215854	287.2964622	512	-12.44491899
2200	0.09094799295	-67572.12102	818.3955146	2011.335671	-129691.637	4535.840029	288.4209596	512	-11.6377894
2300	0.09325273198	-68181.82821	839.1347088	2029.617108	-129692.9726	4551.765111	294.0363685	512	-11.6255621
2400	0.09443981763	-68335.4377	849.816699	2046.233593	-129689.6131	4505.364572	296.6697138	512	-10.96444695
2500	0.1035782246	-68864.17771	932.0486542	2062.559205	-129689.1046	4524.694875	299.8341762	512	-10.86111178
2600	0.1133218034	-69338.58213	1019.726247	2084.411046	-129685.6623	4582.365459	303.3578851	512	-10.7469856
2700	0.1250057533	-69736.79176	1124.864271	2103.481878	-129688.4487	4620.327458	310.2582142	512	-10.3777622
2800	0.1318394596	-70021.41828	1186.357377	2109.296732	-129687.4464	4552.733133	311.9731711	512	-10.36117588
2900	0.1506813239	-70322.60271	1355.905893	2126.820313	-129682.1054	4557.820107	318.4629523	512	-9.602389046
3000	0.1732844108	-70553.99581	1559.29977	2134.738966	-129679.6078	4519.465091	319.6645372	512	-8.824839432
3100	0.2040728026	-70874.1271	1836.349114	2145.216471	-129683.102	4491.610618	325.6449263	512	-8.524831595
3200	0.2332051686	-70771.93575	2098.49671	2151.95442	-129687.1345	4497.051863	336.3733516	512	-7.0574208
3300	0.2855920014	-70797.78981	2569.899624	2163.39676	-129688.3368	4540.17566	345.0368395	512	-5.390045998
