timestep	temperature	potential_energy	kinetic_energy	bond_harmonic_energy	pppm_energy	pair_lj_energy	angle_harmonic_energy	volume	pressure
0	0	908615.6025	0	24618.38887	-129747.3141	166713.2071	717189.4135	512	743.9407512
100	47.87790733	231393.7906	430829.3491	95691.15743	-129498.6998	-2939.900713	141060.9279	512	-283.4453441
200	17.58914226	148595.206	158275.8966	103663.4358	-129543.0358	-4981.455718	57621.61234	512	819.0273624
300	8.096824865	40287.07965	72859.27855	33505.77872	-129640.2061	-4353.02601	27012.94067	512	-159.4414427
400	3.14414466	-990.9966229	28292.58573	7373.349599	-129671.0409	-2604.605163	19325.54719	512	-54.38076702
500	1.664327377	-27427.34746	14976.4499	7155.488205	-129660.8962	-902.6461688	3786.840387	512	-40.23564472
600	0.7971574969	-38552.14506	7173.221736	3775.558285	-129676.175	335.3213099	2184.18318	512	3.604965859
700	0.5131436528	-46172.52932	4617.52316	1849.075227	-129683.6029	1526.352627	1150.041433	512	-24.41183021
800	0.3341569287	-50610.95415	3006.911123	1863.140768	-129682.3775	2142.69852	516.2246889	512	-27.203235
900	0.2422449905	-53477.17816	2179.841547	1614.867599	-129686.3996	2406.39275	454.1251155	512	-11.71885434
1000	0.1791281929	-55672.56857	1611.885044	1591.363311	-129680.8824	2943.375358	321.6905999	512	-15.45912759
1100	0.1654596731	-57689.46667	1488.888868	1638.020143	-129682.9347	3294.942922	284.7172309	512	-18.18275804
1200	0.1459097728	-59292.72707	1312.96909	1668.798649	-129685.3714	3450.315555	300.9310513	512	-14.71215095
1300	0.131831059	-60858.16357	1186.281785	1746.357403	-129677.2521	3966.617929	284.1549951	512	-13.11857034
1400	0.1169735522	-62175.63295	1052.58651	1781.495587	-129677.9561	4028.352693	281.2081241	512	-15.04352135
1500	0.1126809518	-62987.87359	1013.959545	1823.629824	-129678.7318	4108.677366	281.6171417	512	-13.56286578
1600	0.1115346354	-63778.59137	1003.644417	1873.60698	-129676.3268	4325.956734	275.9842442	512	-12.03866242
1700	0.1067527818	-64636.00263	960.6149072	1909.790033	-129676.3467	4442.638578	278.3392581	512	-11.89555488
1800	0.09769859769	-65483.72148	879.1408313	1944.854271	-129679.479	4543.736441	279.4092156	512	-11.61903507
1900	0.09672098896	-66267.32786	870.3438191	1953.382345	-129682.1501	4393.832502	284.9475038	512	-13.48594241
2000	0.09787931311	-66792.46713	880.766999	1990.334335	-129682.5822	4609.163575	290.0214301	512	-11.4887504
2100	0.102471729	-67509.80261	922.0918537	2012.126876	-129685.0911	4633.743934	296.7814326	512	-11.81822759
2200	0.1041686883	-67766.11303	937.3619418	2040.411959	-129681.5112	4742.618264	303.2719452	512	-10.09278557
2300	0.1149147631	-68422.07877	1034.060496	2059.007586	-129678.3204	4704.320888	307.3373682	512	-10.38323998
2400	0.1263775101	-68638.58716	1137.208025	2090.022608	-129677.0327	4781.30322	301.2111432	512	-9.503500575
2500	0.1357247882	-69109.81538	1221.319506	2110.504828	-129674.9395	4796.716936	307.3376665	512	-9.539327411
2600	0.1457667263	-69482.27117	1311.681886	2120.948491	-129673.2996	4688.385392	308.6869076	512	-9.930641929
2700	0.1622005919	-70306.10303	1459.562027	2133.56045	-129669.5928	4690.400181	311.4265987	512	-10.47960035
2800	0.1832977394	-70357.21318	1649.404708	2155.679774	-129666.6171	4749.264607	313.3491655	512	-8.371973996
2900	0.2066141129	-70528.1267	1859.217095	2151.087867	-129667.9575	4488.854537	318.551337	512	-9.03844654
3000	0.2548462035	-71029.81336	2293.233562	2158.935388	-129668.2865	4429.909882	326.9952435	512	-9.16506753
3100	0.3161921423	-70934.80409	2845.254993	2165.112251	-129666.5125	4367.829103	335.7931206	512	-7.258181203
3200	0.3806509945	-71385.58325	3425.287974	2165.766813	-129667.1932	4301.183999	360.5038783	512	-7.842488084
3300	0.4713479191	-70911.85461	4241.42425	2155.074993	-129664.7183	4317.174615	388.6903508	512	-4.281840239
3400	0.625996345	-70812.91354	5633.02811	2136.436916	-129661.914	4030.281224	404.4106524	512	-4.437103565
